Rank,Name,Count
1,61. SOMETIMES I'M A VEGETARIAN,428
2,70. MEATLESS MIKE,319
3,239. SNEAKY KITTY,165
4,1122. TAILOR'S BOOTY,120
5,311. LOVE TRIANGLE,116
6,895. CLUELESS,116
7,291. PEE WEE,107
8,219. FALL'ING FOR IKE'S,100
9,301. HANDSOME OWL,94
10,249. GO KINGS!,85
11,206. XXX-TINA,84
12,173. GLADIATOR,82
13,265. READING RAINBOW,80
14,276. JESSICA RABBIT,78
15,564. DAY OFF,72
