Date,DOW,Cal Year,Week,Period,Quarter,Location,Area,This Year Net Sales,Last Year Net Sales,This Year Transactions,Last Year Transactions,Catering Sales
10/31/24,Thursday,2024,44,11,4,El Segundo,SoCal 4,2905.93,3096.72,123,128,625.5
10/31/24,Thursday,2024,44,11,4,Five Points,SoCal 4,1585.74,2007.56,78,112,0
10/31/24,Thursday,2024,44,11,4,Fountain Valley,SoCal 4,2008.67,2693.08,99,125,0
10/27/24,Sunday,2024,43,11,4,Carson,SoCal 4,2878.03,2386.27,103,95,0
10/31/24,Thursday,2024,44,11,4,LBX,SoCal 4,2495.61,2933.18,123,141,299.9
10/31/24,Thursday,2024,44,11,4,Long Beach,SoCal 4,5657.3,3638.67,182,189,1996.8
10/31/24,Thursday,2024,44,11,4,Manhattan Beach,SoCal 4,3029.09,3232.78,122,130,243.95
10/31/24,Thursday,2024,44,11,4,Marina Del Rey,SoCal 4,3402.38,2157.02,119,97,831
10/31/24,Thursday,2024,44,11,4,Newport Beach,SoCal 4,2837.95,2968.38,119,128,372.5
10/27/24,Sunday,2024,43,11,4,Tustin,SoCal 4,2810.83,2854.5,113,110,199
10/27/24,Sunday,2024,43,11,4,Westminster,SoCal 4,1290.05,2236.39,53,83,0
10/28/24,Monday,2024,44,11,4,Carson,SoCal 4,2819.79,2469.42,110,112,480
10/28/24,Monday,2024,44,11,4,Costa Mesa,SoCal 4,1260.44,1535.05,67,81,0
10/28/24,Monday,2024,44,11,4,El Segundo,SoCal 4,2183.64,3773.75,100,151,243.95
10/28/24,Monday,2024,44,11,4,Five Points,SoCal 4,963.76,1385.72,52,86,0
10/28/24,Monday,2024,44,11,4,Fountain Valley,SoCal 4,1881.23,1783.34,74,90,166.5
1/1/24,Monday,2024,1,1,1,Carson,SoCal 4,2573.57,1705.4,108,74,0
1/1/24,Monday,2024,1,1,1,Costa Mesa,SoCal 4,2679.23,1790.11,102,80,0
1/1/24,Monday,2024,1,1,1,El Segundo,SoCal 4,2276.4,1908.98,90,83,0
1/1/24,Monday,2024,1,1,1,Five Points,SoCal 4,1964.53,,84,,0
1/1/24,Monday,2024,1,1,1,Fountain Valley,SoCal 4,2086.75,2798.08,90,120,0
1/1/24,Monday,2024,1,1,1,LBX,SoCal 4,3027.43,,153,,0
1/1/24,Monday,2024,1,1,1,Long Beach,SoCal 4,3309.58,2651.38,127,117,0
11/30/24,Saturday,2024,48,12,4,Carson,SoCal 4,2841.3,2333.41,108,94,0
11/18/24,Monday,2024,47,12,4,Costa Mesa,SoCal 4,2126.42,2490.33,55,87,1073.4
11/18/24,Monday,2024,47,12,4,El Segundo,SoCal 4,2641.97,3411.07,99,119,282
11/18/24,Monday,2024,47,12,4,Five Points,SoCal 4,1237.1,1586.95,69,97,0
11/18/24,Monday,2024,47,12,4,Fountain Valley,SoCal 4,1726.54,2426.86,79,95,0
11/12/24,Tuesday,2024,46,12,4,Carson,SoCal 4,3096.56,2857.04,110,109,448
11/12/24,Tuesday,2024,46,12,4,Costa Mesa,SoCal 4,1612.04,1730.17,70,71,0
11/6/24,Wednesday,2024,45,12,4,Carson,SoCal 4,3066.48,2882.84,109,108,736.9
11/6/24,Wednesday,2024,45,12,4,Costa Mesa,SoCal 4,1739.82,2575.17,80,107,0
11/6/24,Wednesday,2024,45,12,4,El Segundo,SoCal 4,3552.89,3662.02,141,141,199
11/6/24,Wednesday,2024,45,12,4,Five Points,SoCal 4,1899.36,1958.1,73,108,199
11/6/24,Wednesday,2024,45,12,4,Fountain Valley,SoCal 4,1915.57,1941.82,88,101,0
11/6/24,Wednesday,2024,45,12,4,LBX,SoCal 4,3709.32,2742.4,156,150,638.9
11/6/24,Wednesday,2024,45,12,4,Long Beach,SoCal 4,2632.79,3696.39,122,156,204.95
11/6/24,Wednesday,2024,45,12,4,Manhattan Beach,SoCal 4,2446.26,2214.21,98,108,0
11/6/24,Wednesday,2024,45,12,4,Marina Del Rey,SoCal 4,2795.01,2337.83,92,122,630
11/6/24,Wednesday,2024,45,12,4,Newport Beach,SoCal 4,4112.72,3038.64,118,137,1373.5
11/5/24,Tuesday,2024,45,12,4,Carson,SoCal 4,2707.17,2735.07,124,116,0
11/5/24,Tuesday,2024,45,12,4,Costa Mesa,SoCal 4,1727.7,1416.13,74,79,0
11/5/24,Tuesday,2024,45,12,4,El Segundo,SoCal 4,2527.4,3700.73,101,152,270.95
11/5/24,Tuesday,2024,45,12,4,Five Points,SoCal 4,1163.5,1645.87,55,99,0
11/5/24,Tuesday,2024,45,12,4,Fountain Valley,SoCal 4,1994.49,2141.61,83,90,0
11/5/24,Tuesday,2024,45,12,4,LBX,SoCal 4,4188.35,2578.09,132,126,1739
11/5/24,Tuesday,2024,45,12,4,Long Beach,SoCal 4,1775.23,2801.02,93,137,0
11/5/24,Tuesday,2024,45,12,4,Manhattan Beach,SoCal 4,2147.49,2307.69,98,117,144.45
11/5/24,Tuesday,2024,45,12,4,Marina Del Rey,SoCal 4,1903.32,1773.16,92,97,0
11/5/24,Tuesday,2024,45,12,4,Newport Beach,SoCal 4,3647.17,2209.71,130,111,129.5
11/5/24,Tuesday,2024,45,12,4,Tustin,SoCal 4,2187.41,2899.52,103,117,0
11/5/24,Tuesday,2024,45,12,4,Westminster,SoCal 4,1271.53,1242.71,77,66,0
1/1/24,Monday,2024,1,1,1,Manhattan Beach,SoCal 4,2822.86,2952.71,111,128,0
1/1/24,Monday,2024,1,1,1,Marina Del Rey,SoCal 4,2248.66,1670.69,95,73,0
1/1/24,Monday,2024,1,1,1,Newport Beach,SoCal 4,1596.16,1651.55,64,68,0
1/1/24,Monday,2024,1,1,1,Tustin,SoCal 4,2384.78,3130.82,92,133,0
1/1/24,Monday,2024,1,1,1,Westminster,SoCal 4,2318,0,84,0,0
1/2/24,Tuesday,2024,1,1,1,Carson,SoCal 4,3212.54,1993.71,125,83,0
1/2/24,Tuesday,2024,1,1,1,Costa Mesa,SoCal 4,2820.94,1572.31,89,78,826
1/2/24,Tuesday,2024,1,1,1,El Segundo,SoCal 4,2023.63,3054.55,110,131,0
1/2/24,Tuesday,2024,1,1,1,Five Points,SoCal 4,1450.42,,85,,0
1/2/24,Tuesday,2024,1,1,1,Fountain Valley,SoCal 4,2762.7,2625.33,106,119,617
1/2/24,Tuesday,2024,1,1,1,LBX,SoCal 4,2174.27,,123,,0
1/2/24,Tuesday,2024,1,1,1,Long Beach,SoCal 4,2872.18,2948.64,144,121,0
1/2/24,Tuesday,2024,1,1,1,Manhattan Beach,SoCal 4,2277.48,2354.46,101,107,0
1/2/24,Tuesday,2024,1,1,1,Marina Del Rey,SoCal 4,1892.28,1765.95,91,83,0
1/2/24,Tuesday,2024,1,1,1,Newport Beach,SoCal 4,3217.71,2785.91,122,123,960
1/2/24,Tuesday,2024,1,1,1,Tustin,SoCal 4,2056.22,2486.65,95,107,0
1/2/24,Tuesday,2024,1,1,1,Westminster,SoCal 4,1304.1,0,55,0,0
1/3/24,Wednesday,2024,1,1,1,Carson,SoCal 4,2398.5,2576.26,102,102,0
1/3/24,Wednesday,2024,1,1,1,Costa Mesa,SoCal 4,1699.29,1809.12,79,87,215
1/3/24,Wednesday,2024,1,1,1,El Segundo,SoCal 4,2807.47,2185.09,88,111,627
1/3/24,Wednesday,2024,1,1,1,Five Points,SoCal 4,1317.45,,73,,0
1/3/24,Wednesday,2024,1,1,1,Fountain Valley,SoCal 4,1888.49,2629.72,85,127,0
1/3/24,Wednesday,2024,1,1,1,LBX,SoCal 4,2616.27,,137,,0
1/3/24,Wednesday,2024,1,1,1,Long Beach,SoCal 4,2640.53,2864.43,122,114,0
1/3/24,Wednesday,2024,1,1,1,Manhattan Beach,SoCal 4,1784.37,2660.52,95,117,0
1/3/24,Wednesday,2024,1,1,1,Marina Del Rey,SoCal 4,1806.01,2481.22,83,97,0
1/3/24,Wednesday,2024,1,1,1,Newport Beach,SoCal 4,3178.27,2239.16,132,118,215
1/3/24,Wednesday,2024,1,1,1,Tustin,SoCal 4,2767.84,3381.67,98,130,208
1/3/24,Wednesday,2024,1,1,1,Westminster,SoCal 4,1413.78,0,54,0,199
1/5/24,Friday,2024,1,1,1,Carson,SoCal 4,2263.08,2810.72,112,113,0
1/5/24,Friday,2024,1,1,1,Costa Mesa,SoCal 4,2138.32,2397.27,103,115,0
1/5/24,Friday,2024,1,1,1,El Segundo,SoCal 4,2524.24,3155.45,108,130,0
1/5/24,Friday,2024,1,1,1,Five Points,SoCal 4,1962.92,,95,,0
1/5/24,Friday,2024,1,1,1,Fountain Valley,SoCal 4,2529.48,3181.59,114,141,199
1/5/24,Friday,2024,1,1,1,LBX,SoCal 4,2639.58,,134,,0
1/5/24,Friday,2024,1,1,1,Long Beach,SoCal 4,3020.3,3787.02,140,157,0
1/5/24,Friday,2024,1,1,1,Manhattan Beach,SoCal 4,2730.1,3631.89,123,166,0
1/5/24,Friday,2024,1,1,1,Marina Del Rey,SoCal 4,2155.33,2544.3,91,113,0
1/5/24,Friday,2024,1,1,1,Newport Beach,SoCal 4,2292.43,2094.23,111,106,0
1/5/24,Friday,2024,1,1,1,Tustin,SoCal 4,3142.17,3613.45,118,129,199
1/5/24,Friday,2024,1,1,1,Westminster,SoCal 4,1680.72,0,79,0,0
1/6/24,Saturday,2024,1,1,1,Carson,SoCal 4,2161.85,2467.8,91,97,0
1/6/24,Saturday,2024,1,1,1,Costa Mesa,SoCal 4,1752.88,1817.38,78,76,0
1/6/24,Saturday,2024,1,1,1,El Segundo,SoCal 4,2316.62,2076.03,92,90,199
1/6/24,Saturday,2024,1,1,1,Five Points,SoCal 4,1648.09,,84,,0
1/6/24,Saturday,2024,1,1,1,Fountain Valley,SoCal 4,2683.13,2771.38,108,123,0
1/6/24,Saturday,2024,1,1,1,LBX,SoCal 4,4090.81,,182,,0
1/6/24,Saturday,2024,1,1,1,Long Beach,SoCal 4,3383.56,3714.8,136,130,0
1/6/24,Saturday,2024,1,1,1,Manhattan Beach,SoCal 4,3781.08,3368.36,143,141,199
1/6/24,Saturday,2024,1,1,1,Marina Del Rey,SoCal 4,2251.95,2644.2,99,110,0
1/6/24,Saturday,2024,1,1,1,Newport Beach,SoCal 4,1488.22,1756.15,66,74,0
1/6/24,Saturday,2024,1,1,1,Tustin,SoCal 4,3134.15,2929.94,128,127,0
1/6/24,Saturday,2024,1,1,1,Westminster,SoCal 4,1585.96,0,66,0,0
1/7/24,Sunday,2024,1,1,1,Carson,SoCal 4,2800.78,2945,121,129,0
1/7/24,Sunday,2024,1,1,1,Costa Mesa,SoCal 4,1741.98,1971.92,87,91,0
1/7/24,Sunday,2024,1,1,1,El Segundo,SoCal 4,1776.08,2508.83,66,85,0
1/7/24,Sunday,2024,1,1,1,Five Points,SoCal 4,1239.9,,53,,0
1/7/24,Sunday,2024,1,1,1,Fountain Valley,SoCal 4,2351.53,2878.76,97,110,0
1/7/24,Sunday,2024,1,1,1,LBX,SoCal 4,2680.54,,139,,0
1/7/24,Sunday,2024,1,1,1,Long Beach,SoCal 4,3153.58,4038.92,130,160,0
1/7/24,Sunday,2024,1,1,1,Manhattan Beach,SoCal 4,3267.67,3634.31,135,147,0
1/7/24,Sunday,2024,1,1,1,Marina Del Rey,SoCal 4,2460.56,2715.1,105,119,0
1/7/24,Sunday,2024,1,1,1,Newport Beach,SoCal 4,2150.06,1685.28,84,62,0
1/7/24,Sunday,2024,1,1,1,Tustin,SoCal 4,1948.92,3398.38,82,146,0
1/7/24,Sunday,2024,1,1,1,Westminster,SoCal 4,1804.37,0,76,0,0
12/30/24,Monday,2025,1,1,1,Carson,SoCal 4,4504.9,2573.57,106,108,1930
12/30/24,Monday,2025,1,1,1,Costa Mesa,SoCal 4,1607.83,2679.23,64,102,0
12/30/24,Monday,2025,1,1,1,El Segundo,SoCal 4,2333.36,2276.4,92,90,195
12/30/24,Monday,2025,1,1,1,Five Points,SoCal 4,1582.39,1964.53,73,84,0
12/30/24,Monday,2025,1,1,1,Fountain Valley,SoCal 4,1591.22,2086.75,85,90,0
12/30/24,Monday,2025,1,1,1,LBX,SoCal 4,2869.97,3027.43,147,153,170
12/30/24,Monday,2025,1,1,1,Long Beach,SoCal 4,4440.02,3309.58,126,127,1665
12/30/24,Monday,2025,1,1,1,Manhattan Beach,SoCal 4,4433.4,2822.86,127,111,1665
12/30/24,Monday,2025,1,1,1,Marina Del Rey,SoCal 4,1444.5,2248.66,67,95,0
12/30/24,Monday,2025,1,1,1,Newport Beach,SoCal 4,1842.68,1596.16,94,64,0
12/31/24,Tuesday,2025,1,1,1,Tustin,SoCal 4,2759.87,2056.22,96,95,0
12/31/24,Tuesday,2025,1,1,1,Westminster,SoCal 4,1337.68,1304.1,65,55,0
1/1/25,Wednesday,2025,1,1,1,Carson,SoCal 4,3401.14,2398.5,111,102,809.5
1/1/25,Wednesday,2025,1,1,1,Costa Mesa,SoCal 4,1753.49,1699.29,70,79,0
1/1/25,Wednesday,2025,1,1,1,El Segundo,SoCal 4,1926.31,2807.47,73,88,0
1/1/25,Wednesday,2025,1,1,1,Five Points,SoCal 4,2213.25,1317.45,79,73,0
1/1/25,Wednesday,2025,1,1,1,Fountain Valley,SoCal 4,1895.75,1888.49,74,85,0
1/1/25,Wednesday,2025,1,1,1,LBX,SoCal 4,3908.65,2616.27,177,137,0
1/1/25,Wednesday,2025,1,1,1,Long Beach,SoCal 4,3653.28,2640.53,139,122,0
1/1/25,Wednesday,2025,1,1,1,Manhattan Beach,SoCal 4,3446.91,1784.37,112,95,0
1/1/25,Wednesday,2025,1,1,1,Marina Del Rey,SoCal 4,2037,1806.01,81,83,0
1/1/25,Wednesday,2025,1,1,1,Newport Beach,SoCal 4,1749.77,3178.27,64,132,0
1/1/25,Wednesday,2025,1,1,1,Tustin,SoCal 4,2847.78,2767.84,96,98,0
1/1/25,Wednesday,2025,1,1,1,Westminster,SoCal 4,1526.59,1413.78,61,54,0
1/2/25,Thursday,2025,1,1,1,Carson,SoCal 4,2801.65,2877.73,139,123,0
1/2/25,Thursday,2025,1,1,1,Costa Mesa,SoCal 4,1955.97,1717.4,96,92,0
1/2/25,Thursday,2025,1,1,1,El Segundo,SoCal 4,2352.71,2908.07,97,124,403
1/2/25,Thursday,2025,1,1,1,Five Points,SoCal 4,1326.09,1806.49,66,87,0
1/2/25,Thursday,2025,1,1,1,Fountain Valley,SoCal 4,1306.44,2750.91,67,108,0
1/2/25,Thursday,2025,1,1,1,LBX,SoCal 4,3010.09,3066.4,148,153,0
1/2/25,Thursday,2025,1,1,1,Long Beach,SoCal 4,2934.42,2275.4,129,122,0
1/2/25,Thursday,2025,1,1,1,Manhattan Beach,SoCal 4,2391.27,2857.28,109,122,0
1/2/25,Thursday,2025,1,1,1,Marina Del Rey,SoCal 4,1836.94,2131.76,83,92,0
1/2/25,Thursday,2025,1,1,1,Newport Beach,SoCal 4,2394.75,2476.43,110,121,170
1/2/25,Thursday,2025,1,1,1,Tustin,SoCal 4,2731.96,2301.16,114,99,0
1/2/25,Thursday,2025,1,1,1,Westminster,SoCal 4,1668.98,2090.76,69,89,0
1/3/25,Friday,2025,1,1,1,Carson,SoCal 4,2969.8,2263.08,114,112,594
1/3/25,Friday,2025,1,1,1,Costa Mesa,SoCal 4,2143.65,2138.32,95,103,0
1/3/25,Friday,2025,1,1,1,El Segundo,SoCal 4,3297.25,2524.24,89,108,1396
1/3/25,Friday,2025,1,1,1,Five Points,SoCal 4,1438.21,1962.92,70,95,0
1/3/25,Friday,2025,1,1,1,Fountain Valley,SoCal 4,2308.76,2529.48,104,114,0
1/3/25,Friday,2025,1,1,1,LBX,SoCal 4,3823.35,2639.58,164,134,340
1/3/25,Friday,2025,1,1,1,Long Beach,SoCal 4,2789.26,3020.3,126,140,0
1/3/25,Friday,2025,1,1,1,Manhattan Beach,SoCal 4,2688.96,2730.1,115,123,170
1/3/25,Friday,2025,1,1,1,Marina Del Rey,SoCal 4,2236.31,2155.33,75,91,360
1/3/25,Friday,2025,1,1,1,Newport Beach,SoCal 4,2679,2292.43,117,111,0
1/3/25,Friday,2025,1,1,1,Tustin,SoCal 4,2319.74,3142.17,97,118,209
1/3/25,Friday,2025,1,1,1,Westminster,SoCal 4,1492.55,1680.72,67,79,0
1/4/25,Saturday,2025,1,1,1,Carson,SoCal 4,2609.55,2161.85,96,91,0
1/4/25,Saturday,2025,1,1,1,Costa Mesa,SoCal 4,1684.4,1752.88,74,78,190
1/4/25,Saturday,2025,1,1,1,El Segundo,SoCal 4,1419.69,2316.62,58,92,0
1/4/25,Saturday,2025,1,1,1,Five Points,SoCal 4,1398.61,1648.09,67,84,0
1/4/25,Saturday,2025,1,1,1,Fountain Valley,SoCal 4,2007.13,2683.13,80,108,0
1/4/25,Saturday,2025,1,1,1,LBX,SoCal 4,4142.04,4090.81,171,182,535
1/4/25,Saturday,2025,1,1,1,Long Beach,SoCal 4,3905.57,3383.56,133,136,390
1/4/25,Saturday,2025,1,1,1,Manhattan Beach,SoCal 4,2633.4,3781.08,107,143,0
1/4/25,Saturday,2025,1,1,1,Marina Del Rey,SoCal 4,1998.55,2251.95,71,99,0
1/4/25,Saturday,2025,1,1,1,Newport Beach,SoCal 4,1431.55,1488.22,70,66,0
12/30/24,Monday,2025,1,1,1,Tustin,SoCal 4,2149.45,2384.78,93,92,0
12/30/24,Monday,2025,1,1,1,Westminster,SoCal 4,1539.59,2318,74,84,0
12/31/24,Tuesday,2025,1,1,1,Carson,SoCal 4,2481.05,3212.54,106,125,0
12/31/24,Tuesday,2025,1,1,1,Costa Mesa,SoCal 4,1872.18,2820.94,86,89,31.25
12/31/24,Tuesday,2025,1,1,1,El Segundo,SoCal 4,1753.89,2023.63,71,110,0
12/31/24,Tuesday,2025,1,1,1,Five Points,SoCal 4,1720.82,1450.42,75,85,0
12/31/24,Tuesday,2025,1,1,1,Fountain Valley,SoCal 4,1644.6,2762.7,71,106,0
12/31/24,Tuesday,2025,1,1,1,LBX,SoCal 4,1284.7,2174.27,61,123,0
12/31/24,Tuesday,2025,1,1,1,Long Beach,SoCal 4,3738.05,2872.18,137,144,0
12/31/24,Tuesday,2025,1,1,1,Manhattan Beach,SoCal 4,2264.71,2277.48,93,101,0
12/31/24,Tuesday,2025,1,1,1,Marina Del Rey,SoCal 4,1887.35,1892.28,80,91,0
12/31/24,Tuesday,2025,1,1,1,Newport Beach,SoCal 4,2130.85,3217.71,88,122,230
1/4/25,Saturday,2025,1,1,1,Tustin,SoCal 4,3017.24,3134.15,122,128,0
1/4/25,Saturday,2025,1,1,1,Westminster,SoCal 4,1881.48,1585.96,66,66,0
1/4/24,Thursday,2024,1,1,1,Carson,SoCal 4,2877.73,1926.66,123,93,0
1/4/24,Thursday,2024,1,1,1,Costa Mesa,SoCal 4,1717.4,1636.33,92,85,0
1/4/24,Thursday,2024,1,1,1,El Segundo,SoCal 4,2908.07,2935.37,124,140,208
1/4/24,Thursday,2024,1,1,1,Five Points,SoCal 4,1806.49,,87,,0
1/4/24,Thursday,2024,1,1,1,Fountain Valley,SoCal 4,2750.91,2732.59,108,118,0
1/4/24,Thursday,2024,1,1,1,LBX,SoCal 4,3066.4,,153,,0
1/4/24,Thursday,2024,1,1,1,Long Beach,SoCal 4,2275.4,3066.73,122,151,0
1/4/24,Thursday,2024,1,1,1,Manhattan Beach,SoCal 4,2857.28,2698.25,122,140,0
1/4/24,Thursday,2024,1,1,1,Marina Del Rey,SoCal 4,2131.76,1637.42,92,85,160
1/4/24,Thursday,2024,1,1,1,Newport Beach,SoCal 4,2476.43,2109.96,121,111,0
1/4/24,Thursday,2024,1,1,1,Tustin,SoCal 4,2301.16,1969.41,99,92,0
1/4/24,Thursday,2024,1,1,1,Westminster,SoCal 4,2090.76,0,89,0,0
1/5/25,Sunday,2025,1,1,1,Carson,SoCal 4,2530.36,2800.78,97,121,0
1/5/25,Sunday,2025,1,1,1,Costa Mesa,SoCal 4,1457.65,1741.98,60,87,0
1/5/25,Sunday,2025,1,1,1,El Segundo,SoCal 4,1841.69,1776.08,76,66,0
1/5/25,Sunday,2025,1,1,1,Five Points,SoCal 4,1675.66,1239.9,72,53,0
1/5/25,Sunday,2025,1,1,1,Fountain Valley,SoCal 4,2220.59,2351.53,81,97,0
1/5/25,Sunday,2025,1,1,1,LBX,SoCal 4,2865.95,2680.54,141,139,0
1/5/25,Sunday,2025,1,1,1,Long Beach,SoCal 4,3014.58,3153.58,119,130,0
1/5/25,Sunday,2025,1,1,1,Manhattan Beach,SoCal 4,3431.3,3267.67,116,135,524
1/5/25,Sunday,2025,1,1,1,Marina Del Rey,SoCal 4,2278.91,2460.56,73,105,440
1/5/25,Sunday,2025,1,1,1,Newport Beach,SoCal 4,2062.84,2150.06,73,84,0
1/5/25,Sunday,2025,1,1,1,Tustin,SoCal 4,3761.83,1948.92,135,82,190
1/5/25,Sunday,2025,1,1,1,Westminster,SoCal 4,2163.15,1804.37,74,76,0
1/8/24,Monday,2024,2,1,1,Carson,SoCal 4,2578.19,1816.13,81,94,1077
1/8/24,Monday,2024,2,1,1,Costa Mesa,SoCal 4,1114.18,1713.8,60,77,0
1/8/24,Monday,2024,2,1,1,El Segundo,SoCal 4,2815.85,2961.25,117,121,320
1/8/24,Monday,2024,2,1,1,Five Points,SoCal 4,1280.02,,63,,0
1/8/24,Monday,2024,2,1,1,Fountain Valley,SoCal 4,1969.45,2269.71,88,103,0
1/8/24,Monday,2024,2,1,1,LBX,SoCal 4,3042.5,,153,,0
1/8/24,Monday,2024,2,1,1,Long Beach,SoCal 4,2878.83,2417.02,140,122,160
1/8/24,Monday,2024,2,1,1,Manhattan Beach,SoCal 4,2137.16,1392.91,103,63,0
1/8/24,Monday,2024,2,1,1,Marina Del Rey,SoCal 4,1558.45,2802.13,81,84,0
1/8/24,Monday,2024,2,1,1,Newport Beach,SoCal 4,2912.44,2871.88,137,131,0
1/8/24,Monday,2024,2,1,1,Tustin,SoCal 4,2207.14,2620.48,95,86,0
1/8/24,Monday,2024,2,1,1,Westminster,SoCal 4,1403.86,0,70,0,0
1/9/24,Tuesday,2024,2,1,1,Carson,SoCal 4,2880.28,2229.32,106,93,0
1/9/24,Tuesday,2024,2,1,1,Costa Mesa,SoCal 4,1445.35,1769.56,70,84,0
1/9/24,Tuesday,2024,2,1,1,El Segundo,SoCal 4,2566.2,2949.47,108,118,0
1/9/24,Tuesday,2024,2,1,1,Five Points,SoCal 4,1323.44,,76,,0
1/9/24,Tuesday,2024,2,1,1,Fountain Valley,SoCal 4,2462.32,1893.6,104,96,0
1/9/24,Tuesday,2024,2,1,1,LBX,SoCal 4,2120.63,,125,,0
1/9/24,Tuesday,2024,2,1,1,Long Beach,SoCal 4,3297.63,2651.31,135,122,0
1/9/24,Tuesday,2024,2,1,1,Manhattan Beach,SoCal 4,2639.34,3856.47,119,138,199
1/9/24,Tuesday,2024,2,1,1,Marina Del Rey,SoCal 4,1509.24,1789.61,79,90,0
1/9/24,Tuesday,2024,2,1,1,Newport Beach,SoCal 4,4151.85,1671.44,125,97,1900
1/9/24,Tuesday,2024,2,1,1,Tustin,SoCal 4,2413.05,2857.97,85,110,575
1/9/24,Tuesday,2024,2,1,1,Westminster,SoCal 4,1753.02,0,71,0,404
1/10/24,Wednesday,2024,2,1,1,Carson,SoCal 4,2086.35,2806.68,95,118,0
1/10/24,Wednesday,2024,2,1,1,Costa Mesa,SoCal 4,2165.31,1595.1,80,83,544
1/10/24,Wednesday,2024,2,1,1,El Segundo,SoCal 4,3739.97,3662,137,137,1103
1/10/24,Wednesday,2024,2,1,1,Five Points,SoCal 4,1637.32,,98,,0
1/10/24,Wednesday,2024,2,1,1,Fountain Valley,SoCal 4,1759.59,2674.47,80,117,256
1/10/24,Wednesday,2024,2,1,1,LBX,SoCal 4,2655.68,,139,,0
1/10/24,Wednesday,2024,2,1,1,Long Beach,SoCal 4,2612.34,3120.32,132,120,0
1/10/24,Wednesday,2024,2,1,1,Manhattan Beach,SoCal 4,2183.04,3672.99,103,177,0
1/10/24,Wednesday,2024,2,1,1,Marina Del Rey,SoCal 4,2340.55,2362.3,102,99,0
1/10/24,Wednesday,2024,2,1,1,Newport Beach,SoCal 4,3553.17,3335.98,121,132,826
1/10/24,Wednesday,2024,2,1,1,Tustin,SoCal 4,3130.31,4197.24,97,138,420
1/10/24,Wednesday,2024,2,1,1,Westminster,SoCal 4,1865.62,0,85,0,0
1/11/24,Thursday,2024,2,1,1,Carson,SoCal 4,2068.74,2263.24,98,103,0
1/11/24,Thursday,2024,2,1,1,Costa Mesa,SoCal 4,2254.98,2110.2,95,103,210
1/11/24,Thursday,2024,2,1,1,El Segundo,SoCal 4,2768.74,4342.15,119,166,224
1/11/24,Thursday,2024,2,1,1,Five Points,SoCal 4,1679.3,,94,,0
1/11/24,Thursday,2024,2,1,1,Fountain Valley,SoCal 4,2631.67,3158.6,112,129,398
1/11/24,Thursday,2024,2,1,1,LBX,SoCal 4,2694.18,,143,,0
1/11/24,Thursday,2024,2,1,1,Long Beach,SoCal 4,4463.77,2882.85,130,143,1355
1/11/24,Thursday,2024,2,1,1,Manhattan Beach,SoCal 4,2320.54,4214.31,97,175,400
1/11/24,Thursday,2024,2,1,1,Marina Del Rey,SoCal 4,2181.35,1790.25,98,91,128
1/11/24,Thursday,2024,2,1,1,Newport Beach,SoCal 4,3095.44,2986.48,141,139,0
1/11/24,Thursday,2024,2,1,1,Tustin,SoCal 4,3823.34,2437.16,98,105,1565
1/11/24,Thursday,2024,2,1,1,Westminster,SoCal 4,2257.86,0,96,0,0
1/12/24,Friday,2024,2,1,1,Carson,SoCal 4,2607.13,2654.61,123,123,0
1/12/24,Friday,2024,2,1,1,Costa Mesa,SoCal 4,1938.03,1819.55,89,87,0
1/12/24,Friday,2024,2,1,1,El Segundo,SoCal 4,2905.62,3484.82,117,134,750
1/12/24,Friday,2024,2,1,1,Five Points,SoCal 4,1590.42,,82,,0
1/12/24,Friday,2024,2,1,1,Fountain Valley,SoCal 4,3462.43,3424.29,114,151,480
1/12/24,Friday,2024,2,1,1,LBX,SoCal 4,2793.57,,147,,0
1/12/24,Friday,2024,2,1,1,Long Beach,SoCal 4,3477.47,3522.63,157,150,0
1/12/24,Friday,2024,2,1,1,Manhattan Beach,SoCal 4,2639.85,3298.83,122,163,0
1/12/24,Friday,2024,2,1,1,Marina Del Rey,SoCal 4,2045.39,2614.72,97,100,0
1/12/24,Friday,2024,2,1,1,Newport Beach,SoCal 4,2003.93,3160.88,94,130,0
1/12/24,Friday,2024,2,1,1,Tustin,SoCal 4,2175.27,5183.54,99,149,0
1/12/24,Friday,2024,2,1,1,Westminster,SoCal 4,1623.33,0,82,0,0
1/13/24,Saturday,2024,2,1,1,Carson,SoCal 4,2578.33,2451.01,113,106,0
1/13/24,Saturday,2024,2,1,1,Costa Mesa,SoCal 4,1831.49,1627.37,81,78,0
1/13/24,Saturday,2024,2,1,1,El Segundo,SoCal 4,2211.84,2458.47,86,88,0
1/13/24,Saturday,2024,2,1,1,Five Points,SoCal 4,2225.68,,101,,0
1/13/24,Saturday,2024,2,1,1,Fountain Valley,SoCal 4,2463.91,2702.44,106,112,0
1/13/24,Saturday,2024,2,1,1,LBX,SoCal 4,2853.69,,147,,0
1/13/24,Saturday,2024,2,1,1,Long Beach,SoCal 4,3004.18,3077.7,122,113,249
1/13/24,Saturday,2024,2,1,1,Manhattan Beach,SoCal 4,3425.93,3144.43,131,127,0
1/13/24,Saturday,2024,2,1,1,Marina Del Rey,SoCal 4,2521.9,2080.3,107,93,0
1/13/24,Saturday,2024,2,1,1,Newport Beach,SoCal 4,2253.3,1139.8,91,54,0
1/13/24,Saturday,2024,2,1,1,Tustin,SoCal 4,2631.6,3392.71,98,129,0
